,n_mu,n_std,eta_mu,eta_std,s0_mu,s0_std,R_mu,R_std,d_mu,d_std
0,[0.5004437580559492],[0.035033739120780095],[0.5014335132632795],[0.03522523093215281],[0.5005154149689134],[0.034279127129049465],[0.5148598679671561],[0.04210319703021789],[0.5001753802921239],[0.05021004197567487]
1,[0.5000005314627126],[0.028883880178650633],[0.49982597536342754],[0.029180443996071344],[0.49990771389396843],[0.028916951892586654],[0.5153897460862753],[0.042080408542649786],[0.5012883233356135],[0.05797586908015747]
2,[0.49972375425994586],[0.02859118000685759],[0.4999849559654206],[0.029420494478397886],[0.4999227615299385],[0.029246269635463288],[0.5151801125407256],[0.042080313048174264],[0.5015485232749566],[0.057973766713572954]
3,[0.49966123915344696],[0.028566409441226823],[0.4999478965733312],[0.029767214315231817],[0.4998540614421571],[0.029737223111610176],[0.5151857924411194],[0.04208042574020908],[0.5016936721917734],[0.05797201116348973]
4,[0.49960163334351054],[0.02856831784767031],[0.5001874486973061],[0.03044093291335138],[0.49978162739478477],[0.030337337420115188],[0.5152354738570647],[0.04208034161496772],[0.5015843531191306],[0.057967958916273786]
5,[0.49951373493351114],[0.02872698785409919],[0.500218265396439],[0.031205949605940426],[0.4996158481068044],[0.031063198418245997],[0.5151243695732256],[0.0420806183925721],[0.5015262454549492],[0.057964949440466255]
6,[0.4993447869436725],[0.02886110979262631],[0.5005436563504699],[0.03228311082031693],[0.49932873020368096],[0.03185218475591749],[0.5152491347644386],[0.04208022284256674],[0.5013774647915776],[0.057960859324027766]
7,[0.49930814595606837],[0.029209393243161602],[0.5006504532683658],[0.0332303447269582],[0.49922897976458525],[0.03277240857434274],[0.5153124648019571],[0.04208016404784515],[0.5014870162899564],[0.057958577386172175]
8,[0.49909929882679943],[0.02952003835556292],[0.5010259094981595],[0.03453565347649071],[0.4990871285355554],[0.03357512034199029],[0.5151037421954715],[0.04208020903932225],[0.5011322923158742],[0.05795536016915712]
9,[0.4992580798091296],[0.029891672680174727],[0.5009997753830864],[0.03559906891646452],[0.4991284866664585],[0.034552919690430964],[0.5153979730360623],[0.04208018317678189],[0.5013981894054104],[0.05795450907623643]
10,[0.4990034130580086],[0.030291417762756973],[0.5013566645219623],[0.036749125494949526],[0.49889226685166677],[0.03551827196439609],[0.5151121139487577],[0.042080096562408305],[0.5016505068833108],[0.05795183586280582]
11,[0.4990716714967936],[0.03073016555408611],[0.5013214955712884],[0.03765804411499589],[0.49923725545434805],[0.03656775998255484],[0.5150950686622364],[0.04208019757693651],[0.5017364270642299],[0.057952397098432404]
12,[0.4988977967842138],[0.031139944491394386],[0.5014072971183569],[0.03873780173570218],[0.4990745831421179],[0.03749511193848337],[0.5154042911568933],[0.04208006454194175],[0.5017301146802721],[0.05794951320999017]
13,[0.49899199527396926],[0.03156224986742995],[0.5014647393256837],[0.03962494096327416],[0.4991040045837822],[0.03856866870359711],[0.5153437032202499],[0.04207996463512471],[0.5014728286733007],[0.057949643313315445]
14,[0.4989152462906007],[0.03194841772046603],[0.5015691571198326],[0.0405799603519209],[0.4988862832625937],[0.03953298199413408],[0.5153522031837691],[0.04207981085047531],[0.501525999705561],[0.057947496982090646]
15,[0.49901366771056543],[0.032478702736935726],[0.5012705407068628],[0.041265739242643734],[0.4991674985757033],[0.0405850354316957],[0.5152264847787702],[0.042079781388296635],[0.5010906796794719],[0.057949105740720715]
16,[0.4987268383487459],[0.032869083912189984],[0.5014344349311337],[0.04215394869893751],[0.4989845033590438],[0.04150109813595677],[0.5152133747954317],[0.04207967378871368],[0.5011239738206383],[0.057946929592612426]
17,[0.4987814841795532],[0.03330973899859917],[0.501419317753178],[0.04261867737906311],[0.499106291578229],[0.04233046897041821],[0.5153882545913465],[0.04207981293017051],[0.5015684259350365],[0.05794854210733958]
18,[0.4988222637264183],[0.03358338601268835],[0.5017448817407406],[0.04349027693069313],[0.4988916544081386],[0.04303803960264808],[0.5152593114176235],[0.04207947355622077],[0.501225135974849],[0.05794687304591242]
19,[0.4987652793243228],[0.033964383541884406],[0.5015943866435473],[0.043946090225244885],[0.4990972575171809],[0.04367389420168332],[0.5150764540801538],[0.042079867973842756],[0.5016497048685086],[0.057948587942495876]
